timestamp,PPG
1669285061.6986127,1655
1669285061.7215996,1683
1669285061.7236059,1738
1669285061.7506077,1835
1669285061.7546165,2439
1669285061.7716093,2698
1669285061.7766013,2946
1669285061.7966075,3164
1669285061.7986305,3324
1669285061.8215988,3416
1669285061.8235965,3428
1669285061.8475974,3059
1669285061.8546042,2846
1669285061.8715992,2614
1669285061.9235997,1630
1669285061.9246018,1519
1669285061.9466448,1440
1669285061.9496448,1392
1669285061.97163,1365
1669285061.9976022,1390
1669285061.9986048,1431
1669285062.0216043,1486
1669285062.0236034,1552
1669285062.0255995,1631
1669285062.0466015,1716
1669285062.0486,1797
1669285062.0715983,1871
1669285062.0735986,1932
1669285062.0756,1984
1669285062.0966005,2020
1669285062.0985975,2039
1669285062.1215978,2043
1669285062.1236012,2023
1669285062.1266012,1986
1669285062.1475997,1938
1669285062.1485972,1890
1669285062.175599,1841
1669285062.1765995,1797
1669285062.1785994,1755
1669285062.1966085,1716
1669285062.1985989,1680
1669285062.2216017,1646
1669285062.2236016,1612
1669285062.2465982,1581
1669285062.248598,1558
1669285062.2715983,1544
1669285062.2735975,1540
1669285062.297599,1546
1669285062.2985976,1558
1669285062.2995994,1571
1669285062.3085976,1589
1669285062.321599,1608
1669285062.3236032,1628
1669285062.3475976,1649
1669285062.348601,1670
1669285062.3495986,1687
1669285062.3715982,1698
1669285062.3735962,1704
1669285062.3975997,1708
1669285062.3985977,1708
1669285062.3995976,1705
1669285062.4225993,1704
1669285062.4236052,1705
1669285062.4246006,1708
1669285062.4466105,1713
1669285062.4486108,1720
1669285062.47163,1726
1669285062.4736288,1727
1669285062.4756005,1722
1669285062.4965987,1719
1669285062.4985988,1727
1669285062.5385983,1754
1669285062.5395987,1819
1669285062.5405974,1939
1669285062.541597,2115
1669285062.5716293,2339
1669285062.5736048,2594
1669285062.5746298,2852
1669285062.5756352,3083
1669285062.5966015,3258
1669285062.5986006,3365
1669285062.6465974,3263
1669285062.648663,3106
1669285062.6716003,2911
1669285062.6736333,2698
1669285062.6746347,2478
1669285062.700652,2270
1669285062.7015998,2083
1669285062.7236042,1722
1669285062.7255995,1663
1669285062.7466123,1626
1669285062.7736013,1569
1669285062.7975981,1561
1669285062.8216007,1623
1669285062.8236017,1672
1669285062.8465993,1731
1669285062.8716097,1920
1669285062.8735988,1970
1669285062.8745985,2004
1669285062.8976023,2021
1669285062.9085956,2021
1669285062.9215982,2011
1669285062.923598,1989
1669285062.9485972,1878
1669285062.973601,1825
1669285062.974599,1772
1669285062.9966006,1723
1669285062.9986036,1678
1669285062.9996057,1634
1669285063.0216048,1599
1669285063.0466063,1539
1669285063.0486026,1537
1669285063.071599,1539
1669285063.098598,1587
1669285063.1005998,1617
1669285063.1246006,1643
1669285063.1256075,1663
1669285063.146597,1680
1669285063.1486027,1692
1669285063.1496062,1703
1669285063.178598,1714
1669285063.179604,1722
1669285063.1806026,1731
1669285063.197598,1739
1669285063.1986012,1745
1669285063.2245996,1752
1669285063.225607,1754
1669285063.226603,1755
1669285063.246673,1754
1669285063.273599,1754
1669285063.2966044,1752
1669285063.298612,1748
1669285063.2995992,1748
1669285063.321603,1744
1669285063.3265972,1735
1669285063.3286388,1724
1669285063.3715992,1668
1669285063.3736024,1650
1669285063.3976004,1637
1669285063.4475992,1724
1669285063.44869,1814
1669285063.4496758,1956
1669285063.4506063,2154
1669285063.4715993,2400
1669285063.4736044,2672
1669285063.4756038,2949
1669285063.4975986,3199
1669285063.4985983,3397
1669285063.5216017,3523
1669285063.5236,3569
1669285063.5386262,3532
1669285063.5466444,3420
1669285063.5486465,3247
1669285063.57163,3031
1669285063.5736048,2795
1669285063.5976028,2557
1669285063.5986834,2327
1669285063.5996814,2119
1669285063.6216078,1941
1669285063.6235998,1796
1669285063.6476128,1687
1669285063.6486487,1612
1669285063.649633,1568
1669285063.6716247,1543
1669285063.6736279,1531
1669285063.6976118,1533
1669285063.6987891,1544
1669285063.6997519,1567
1669285063.7216327,1602
1669285063.7236018,1644
1669285063.7476244,1696
1669285063.7486088,1754
1669285063.7496283,1816
1669285063.7716463,1877
1669285063.7736332,1927
1669285063.8185997,1968
1669285063.8195982,2001
1669285063.820601,2020
1669285063.8216004,2024
1669285063.8236027,2012
1669285063.847601,1984
1669285063.871633,1945
1669285063.873603,1898
1669285063.8746314,1846
1669285063.8976116,1799
1669285063.8987958,1755
1669285063.8997881,1718
1669285063.9016159,1685
1669285063.921633,1658
1669285063.9236245,1638
1669285063.9476464,1621
1669285063.9486518,1601
1669285063.9496315,1589
1669285063.971634,1585
1669285063.9736025,1582
1669285063.9756005,1580
1669285063.997608,1589
1669285063.998633,1604
1669285064.0215979,1618
1669285064.0235984,1626
1669285064.0476408,1637
1669285064.0486462,1650
1669285064.0496354,1665
1669285064.071637,1680
1669285064.0986056,1729
1669285064.0996003,1744
1669285064.1216176,1759
1669285064.148605,1782
1669285064.1496093,1780
1669285064.171602,1777
1669285064.1726005,1771
1669285064.179598,1765
1669285064.197597,1759
1669285064.1986003,1750
1669285064.221601,1743
1669285064.2236004,1733
1669285064.2466037,1728
1669285064.248602,1726
1669285064.2495995,1723
1669285064.2715974,1723
1669285064.2735975,1720
1669285064.296597,1718
1669285064.298605,1719
1669285064.3215966,1719
1669285064.3466055,1720
1669285064.3486414,1718
1669285064.349599,1712
1669285064.3506637,1703
1669285064.3736033,1660
1669285064.397603,1653
1669285064.4216118,1801
1669285064.4236014,1946
1669285064.4585984,2151
1669285064.4985995,3386
1669285064.4996812,3508
1669285064.500683,3546
1669285064.5225987,3503
1669285064.5236032,3375
1669285064.5716012,2461
1669285064.573604,2220
1669285064.5966015,2004
1669285064.598604,1824
1669285064.621629,1679
1669285064.623605,1571
1669285064.6486323,1441
1669285064.6496193,1441
1669285064.6715991,1452
1669285064.699601,1586
1669285064.7215989,1646
1669285064.7235997,1707
1669285064.7475982,1773
